mutsize,comb_error
0.2,4.661
0.25,6.017
0.3,4.986
0.35,1.803
0.4,2.044
0.45,1.822
0.5,1.971
0.55,2.086
0.6,0.489
0.65,0.721
0.7,0.490
0.75,0.766
0.8,0.576
0.85,0.553
0.9,0.447
0.95,0.302
1,0.312
1.05,0.264
1.1,0.419
1.15,0.227
1.2,0.300
1.25,0.313
1.3,1.040
1.35,0.354
1.4,0.621
1.45,0.625
1.5,0.825
1.55,1.243
1.6,0.422
1.65,1.352
1.7,1.316
1.75,1.440
1.8,1.497
1.85,1.225
1.9,1.225
1.95,1.251
2,1.028
2.05,1.554
2.1,1.663
2.15,1.776
2.2,1.804
2.25,1.854
2.3,1.894
2.35,1.972
2.4,1.988
2.45,2.443
2.5,2.053
2.55,2.110
2.6,2.123
